string_protein_id	preferred_name	protein_size	annotation
6183.Smp_075370.1	Smp_075370	369	Uncharacterized protein
6183.Smp_075380.1	Smp_075380	355	Uncharacterized protein
6183.Smp_075390.1	Smp_075390	213	Uncharacterized protein
6183.Smp_075400.1	Smp_075400.1	306	Uncharacterized protein
6183.Smp_075420.1	Smp_075420	300	Uncharacterized protein
6183.Smp_075430.1	Smp_075430	312	Uncharacterized protein
6183.Smp_075440.1	Smp_075440.1	471	Uncharacterized protein
6183.Smp_075450.1	Smp_075450	206	Heparan sulfate 2-o-sulfotransferase, putative 
6183.Smp_075470.1	Smp_075470	444	Cysteine desulfurylase, putative 
6183.Smp_075500.1	Smp_075500	158	Uncharacterized protein
6183.Smp_075560.1	Smp_075560	124	Putative small nuclear ribonucleoprotein Sm D2 
6183.Smp_075640.3	Smp_075640.3	233	Putative ammecr1 homolog 
6183.Smp_075690.1	Smp_075690	655	Putative translation elongation factor G 
6183.Smp_075720.1	Smp_075720	176	Tetraspanin; Leukocyte surface antigen CD53 (Cell surface glycoprotein CD53), putative 
6183.Smp_075770.1	Smp_075770	256	Uncharacterized protein
6183.Smp_075790.1	Smp_075790	77	Uncharacterized protein
6183.Smp_075800.1	Smp_075800.1	429	Hemoglobinase; This protease is used by the parasite for degradation of the host globin
6183.Smp_075810.1	Smp_075810	1722	Pcd6 interacting protein-related 
6183.Smp_075860.1	Smp_075860.1	181	60S ribosomal protein L35, putative 
6183.Smp_075870.2	Smp_075870.2	393	Translocation associated membrane protein,putative 
6183.Smp_075940.1	Smp_075940	208	Prohibitin, putative 
6183.Smp_075950.1	Smp_075950	601	Uncharacterized protein
6183.Smp_076010.1	Smp_076010.1	197	Uncharacterized protein
6183.Smp_076030.1	Smp_076030.1	818	Putative transducer of erbb2 (Tob) 
6183.Smp_076040.3	Smp_076040.3	219	DIF_3 
6183.Smp_076050.1	Smp_189300	517	Uncharacterized protein
6183.Smp_076150.2	Smp_076150.2	792	Uncharacterized protein
6183.Smp_076170.1	Smp_076170	177	Uncharacterized protein
6183.Smp_076180.1	Smp_076180	562	Ahi-1 wd-40 protein, putative 
6183.Smp_076230.1	Smp_076230	264	Proteasome subunit alpha type 
6183.Smp_076300.1	Smp_076300	758	Forkhead protein/ forkhead protein domain,putative 
6183.Smp_076320.1	Smp_076320	408	Uncharacterized protein
6183.Smp_076370.1	Smp_076370	395	Inhibitor of apoptosis protein,putative 
6183.Smp_076390.1	Smp_076390	224	Glycolipid transfer protein (Gltp), putative 
6183.Smp_076400.1	Smp_076400	184	Universal stress protein G, putative 
6183.Smp_076450.1	Smp_076450	567	Uncharacterized protein
6183.Smp_076460.1	Smp_076460	104	Uncharacterized protein
6183.Smp_076490.1	Smp_076490	317	Bone morphogenetic protein antagonist noggin,putative 
6183.Smp_076500.1	Smp_076500	2054	Dystrophin-like protein 
6183.Smp_076520.1	Smp_076520	439	Organic solute transporter, putative 
6183.Smp_076530.1	Smp_076530	767	Regulator of chromosome condensation, putative 
6183.Smp_076540.1	Smp_076540	527	Uncharacterized protein
6183.Smp_076550.1	Smp_076550	71	Uncharacterized protein
6183.Smp_076560.3	Cyclin	425	Belongs to the cyclin family. 
6183.Smp_076580.1	Smp_076580	338	Short chain dehydrogenase,putative 
6183.Smp_076590.1	Smp_076590	167	Uncharacterized protein
6183.Smp_076600.1	Smp_076600	794	Sox transcription factor 
6183.Smp_076620.1	Smp_076620	88	Uncharacterized protein
6183.Smp_076630.2	Smp_076630.2	396	60S ribosomal export protein NMD3; Acts as an adapter for the XPO1/CRM1-mediated export of the 60S ribosomal subunit
6183.Smp_076650.2	Smp_076650.2	216	Uncharacterized protein
6183.Smp_076660.1	Smp_076660	537	Putative DNA polymerase delta small subunit 
6183.Smp_076710.1	Smp_076710.1	230	Uncharacterized protein
6183.Smp_076740.1	Smp_076740	130	Putative 30s ribosomal protein S8 ; Belongs to the universal ribosomal protein uS8 family
6183.Smp_076860.1	Smp_076860	175	Uncharacterized protein
6183.Smp_076880.1	Smp_076880	218	Uncharacterized protein
6183.Smp_076890.1	Smp_076890	78	Uncharacterized protein
6183.Smp_076910.1	Smp_076910	297	Tetratricopeptide repeat protein 19 (TPR repeat protein 19), putative 
6183.Smp_076930.1	Smp_076930	195	Morn protein, putative 
6183.Smp_076950.1	Smp_076950	696	Solute carrier family 33 (Acetyl-CoA transporter, putative) 
6183.Smp_076960.1	Smp_076960.1	514	Uncharacterized protein
6183.Smp_076990.1	Smp_076990	539	Uncharacterized protein
6183.Smp_077000.1	Smp_077000	56	Uncharacterized protein
6183.Smp_077010.1	Smp_077010	89	Uncharacterized protein
6183.Smp_077020.1	Smp_077020	313	rRNA adenine N(6)-methyltransferase; Dimethyladenosine transferase, putative ; Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family
6183.Smp_077030.1	Smp_077030	448	Uncharacterized protein
6183.Smp_077070.1	Smp_077070	178	Uncharacterized protein
6183.Smp_077090.1	Smp_077090	146	Putative nitrogen fixation protein nifu; Scaffold protein for the de novo synthesis of iron- sulfur (Fe-S) clusters within mitochondria, which is required for maturation of both mitochondrial and cytoplasmic [2Fe-2S] and [4Fe-4S] proteins
6183.Smp_077120.1	Smp_077120	1145	Required for cytoplasmic pre-assembly of axonemal dyneins, thereby playing a central role in motility in cilia and flagella. Involved in pre-assembly of dynein arm complexes in the cytoplasm before intraflagellar transport loads them for the ciliary compartment. 
6183.Smp_077180.1	Smp_077180	571	Serine/threonine kinase 
6183.Smp_077230.1	Smp_077230	293	Uncharacterized protein
6183.Smp_077280.1	Smp_077280.1	65	Uncharacterized protein
6183.Smp_077310.1	Smp_077310	184	Putative tegumental protein; Tegumental antigen 
6183.Smp_077330.1	Smp_077330	232	Uncharacterized protein
6183.Smp_077380.1	Smp_077380	112	Uncharacterized protein
6183.Smp_077390.1	Smp_077390	66	Uncharacterized protein
6183.Smp_077400.1	Smp_077400	327	Autophagy-related protein 3 
6183.Smp_077440.1	Smp_077440	204	Uncharacterized protein
6183.Smp_077500.1	Smp_077500	182	T-box protein-related 
6183.Smp_077540.1	Smp_077540	992	Putative faf1 protein 
6183.Smp_077560.1	Smp_077560	261	Uncharacterized protein
6183.Smp_077580.1	Smp_077580	271	Uncharacterized protein
6183.Smp_077590.1	Smp_077590	259	Putative pre-mRNA-splicing factor CWC26 
6183.Smp_077610.1	Smp_077610	222	Uncharacterized protein
6183.Smp_077670.1	Smp_077670	365	Uncharacterized protein
6183.Smp_077690.1	Smp_077690	102	Uncharacterized protein
6183.Smp_077720.1	Smp_077720	340	Putative annexin 
6183.Smp_077740.1	Smp_077740	92	Uncharacterized protein
6183.Smp_077790.1	Smp_077790	82	Belongs to the histone H2B family. 
6183.Smp_077810.1	Smp_077810	374	Uncharacterized protein
6183.Smp_077820.1	Smp_077820	160	Putative ank repeat-containing 
6183.Smp_077850.1	Smp_077850	372	Putative actin ; Belongs to the actin family
6183.Smp_077860.1	Smp_077860	380	Putative actin ; Belongs to the actin family
6183.Smp_077880.2	Smp_077880.2	365	Putative annexin 
6183.Smp_077890.1	Smp_077890	242	Trematode Eggshell Synthesis domain containing protein 
6183.Smp_077900.1	Smp_000290	238	Female-specific protein 800; FS800 is likely to have some function in the production or maintenance of the schistosome egg
6183.Smp_077920.1	Smp_077920	215	Trematode Eggshell Synthesis domain containing protein 
6183.Smp_077980.1	Smp_077980	656	Putative neuroendocrine convertase 2  (NEC 2) (PC2) (Prohormone convertase 2) (Proprotein convertase 2) (KEX2-like endoprotease 2) ; Belongs to the peptidase S8 family
6183.Smp_078010.1	Smp_078010	136	Casein kinase, putative 
6183.Smp_078030.1	Smp_078030.1	155	Uncharacterized protein
6183.Smp_078040.1	Smp_078040	444	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
6183.Smp_078050.1	Smp_078050	598	Uncharacterized protein
6183.Smp_078060.1	Smp_078060	324	Uncharacterized protein
6183.Smp_078070.1	Smp_078070	114	Uncharacterized protein
6183.Smp_078090.1	Smp_078090.1	290	Uncharacterized protein
6183.Smp_078110.1	Smp_078110.1	237	Uncharacterized protein
6183.Smp_078160.1	Smp_078160	307	Uncharacterized protein
6183.Smp_078200.1	Smp_078200	358	Uncharacterized protein
6183.Smp_078220.1	Smp_078220	236	DNA-directed RNA polymerase I, putative 
6183.Smp_078230.1	Smp_078230	488	Uncharacterized protein
6183.Smp_078240.1	Smp_078240	949	Uncharacterized protein
6183.Smp_078270.1	Smp_078270	344	Mps one binder kinase activator-like 2 (Mob2) 
6183.Smp_078280.1	Smp_078280	1015	Enoyl-CoA hydratase-related 
6183.Smp_078310.1	Smp_078310.1	764	Putative ran-binding protein 
6183.Smp_078320.1	Smp_078320	184	Eukaryotic translation initiation factor 3 subunit 5 (M67 family) 
6183.Smp_078400.1	Smp_078400	493	Galactokinase 
6183.Smp_078410.1	Smp_078410	205	Putative pre-mRNA splicing factor 
6183.Smp_078420.1	Smp_078420	293	Putative pre-mRNA splicing factor 
6183.Smp_078490.1	SmVAL14	211	Venom allergen-like (VAL) 14 protein 
6183.Smp_078520.1	Smp_078520	184	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar protein interacting with the FHA domain of pKI-67) (HNIFK) (Nucleolar phosphoprotein Nopp34), putative 
6183.Smp_078540.1	Smp_078540	436	Uncharacterized protein
6183.Smp_078550.1	Smp_078550	1580	Putative zinc finger protein 
6183.Smp_078560.1	Smp_078560	486	Putative zinc finger protein 
6183.Smp_078570.1	Smp_078570	357	Putative zinc finger protein 
6183.Smp_078590.1	Smp_078590	147	Uncharacterized protein
6183.Smp_078600.1	Smp_078600	331	Putative short-chain dehydrogenase/reductase 
6183.Smp_078610.1	Smp_078610	697	Putative rna binding motif protein 25 
6183.Smp_078640.1	Smp_078640	103	Binds specifically to the 3'-terminal U-tract of U6 snRNA. 
6183.Smp_078690.1	Smp_078690	361	Calponin; Thin filament-associated protein that is implicated in the regulation and modulation of smooth muscle contraction. It is capable of binding to actin, calmodulin, troponin C and tropomyosin. The interaction of calponin with actin inhibits the actomyosin Mg-ATPase activity
6183.Smp_078700.1	Smp_078700	432	Uncharacterized protein
6183.Smp_078710.1	Smp_078710	799	Uncharacterized protein
6183.Smp_078720.1	Smp_078720	233	Uncharacterized protein
6183.Smp_078730.1	Smp_078730	379	Dihydroorotate dehydrogenase 
6183.Smp_078750.1	Smp_078750.1	233	Putative transmembrane 4 superfamily member ; Belongs to the tetraspanin (TM4SF) family
6183.Smp_078780.1	Smp_078780	593	Dihydropyrimidinase related protein-1 (M38 family) 
6183.Smp_078800.1	Smp_078800	192	Putative dnaj homolog subfamily B member 
6183.Smp_078900.1	Smp_078900	1026	Enhancer of zeste, ezh, putative 
6183.Smp_078910.1	Smp_078910	341	Uncharacterized protein
6183.Smp_078920.1	Smp_078920	1300	Uncharacterized protein
6183.Smp_078930.1	Smp_078930	527	Sodium/chloride dependent neurotransmitter transporter, putative; Transporter 
6183.Smp_079000.1	Smp_079000	196	Vacuolar assembly/sorting protein D1D2-like protein ; Belongs to the SNF7 family
6183.Smp_079010.1	Smp_079010	378	Camp-dependent protein kinase type II-alpha regulatory subunit, putative 
6183.Smp_079050.1	Smp_192530	515	DNA primase large subunit, putative 
6183.Smp_079140.1	Smp_079140	284	Putative ssm4 protein 
6183.Smp_079220.1	Smp_079220	276	Putative adp,ATP carrier protein ; Belongs to the mitochondrial carrier (TC 2.A.29) family
6183.Smp_079230.1	Smp_079230	108	Peptidyl-prolyl cis-trans isomerase 
6183.Smp_079240.1	Smp_079240	154	Deoxyuridine 5'-triphosphate nucleotidohydrolase 
6183.Smp_079260.1	Smp_079250	628	Putative lim homeobox protein 
6183.Smp_079270.1	Smp_079270	76	Crp-related 
6183.Smp_079280.1	Smp_079280	115	Uncharacterized protein
6183.Smp_079290.1	Smp_079290.1	286	Putative rna binding motif protein 4,lark 
6183.Smp_079310.1	Smp_079310	206	Transmembrane protein tmp21-related 
6183.Smp_079370.2	Smp_079370.2	1197	Uncharacterized protein
6183.Smp_079380.1	lcb2	540	Serine palmitoyltransferase 2 
6183.Smp_079390.1	Smp_079390	1832	Protein kinase 
6183.Smp_079400.1	Smp_079400	643	Putative goliath E3 ubiquitin ligase 
6183.Smp_079410.1	Smp_079410	822	Kinase 
6183.Smp_079420.2	Smp_079420.2	518	Putative ank repeat-containing 
6183.Smp_079430.2	Smp_079430.2	216	GTP-binding nuclear protein; GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle
6183.Smp_079450.1	Smp_079450	345	Subfamily M16B non-peptidase homologue (M16 family) 
6183.Smp_079480.1	Smp_079480	196	Uncharacterized protein
6183.Smp_079490.1	Smp_079490	293	Putative eukaryotic translation initiation factor 4b/4h 
6183.Smp_079560.1	Smp_079560	503	Putative DNA replication licensing factor MCM2 
6183.Smp_079570.1	Smp_079550	435	Uncharacterized protein
6183.Smp_079600.1	Smp_079600	407	Uncharacterized protein
6183.Smp_079610.1	Smp_079610	433	Putative g-protein beta wd-40 repeats containing protein 
6183.Smp_079640.1	Smp_079640	540	Putative monocarboxylate transporter 
6183.Smp_079650.1	Smp_079650	1966	Putative chromodomain helicase DNA binding protein 
6183.Smp_079700.1	Smp_079700	564	Putative ga binding protein beta chain (Transcription factor e4tf1-47) 
6183.Smp_079710.1	Smp_079710	89	Uncharacterized protein
6183.Smp_079720.1	Smp_079720	89	Uncharacterized protein
6183.Smp_079730.1	Smp_079730	412	Putative rna recognition motif containing protein 
6183.Smp_079740.1	Smp_079740	779	Putative cullin-2 (Cul-2) ; Belongs to the cullin family
6183.Smp_079750.1	Smp_079750	264	Probable methyltransferase required to silence rDNA. 
6183.Smp_079760.1	Smp_079760.1	491	Protein kinase 
6183.Smp_079770.1	Smp_079770.1	484	Probable protein disulfide-isomerase ER-60 ; Belongs to the protein disulfide isomerase family
6183.Smp_079800.1	Smp_079800	630	Putative gtpase activating protein 
6183.Smp_079810.1	Smp_079810	155	Uncharacterized protein
6183.Smp_079840.1	Smp_079840	250	Uroporphyrinogen-III synthase 
6183.Smp_079860.2	Smp_079860.2	460	O-acyltransferase (Membrane bound) domain containing protein, putative ; Belongs to the membrane-bound acyltransferase family
6183.Smp_079910.1	Smp_079910	289	Transcription initiation factor IIE subunit beta; Recruits TFIIH to the initiation complex and stimulates the RNA polymerase II C-terminal domain kinase and DNA-dependent ATPase activities of TFIIH. Both TFIIH and TFIIE are required for promoter clearance by RNA polymerase
6183.Smp_079920.1	Smp_079920	393	Pyruvate dehydrogenase E1 component subunit alpha; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
6183.Smp_079950.1	Smp_079950	324	Putative vacuolar ATP synthase subunit ac39 
6183.Smp_079960.1	Smp_079960	436	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
6183.Smp_079970.1	Smp_079970	462	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
6183.Smp_080030.1	Smp_080030.1	189	annotation not available
6183.Smp_080040.1	Smp_080040	223	Putative adhesion regulating molecule 1 (110 kD cell membrane glycoprotein) 
6183.Smp_080070.1	Smp_080070	278	Conserved oligomeric Golgi complex component 4,putative 
6183.Smp_080100.1	Smp_080100	231	Putative synaptophysin/synaptoporin 
6183.Smp_080110.1	Smp_080110	187	Putative pre-mRNA splicing factor 
6183.Smp_080120.2	Smp_080120.2	514	Serine/threonine-protein kinase receptor; Putative activin receptor 
6183.Smp_080130.1	Smp_080130.1	310	Protein-S-isoprenylcysteine O-methyltransferase
6183.Smp_080150.1	Smp_080150	143	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
6183.Smp_080180.1	Smp_080180	349	Putative carcinoma associated protein hoj-1 
6183.Smp_080210.1	Smp_080210	331	Putative lipid-binding protein 
6183.Smp_080280.1	Smp_080280.1	578	Putative tfiia large subunit 
6183.Smp_080320.1	Smp_080320	422	Putative wd-repeat protein 
6183.Smp_080360.1	Smp_080360	223	Uncharacterized protein
6183.Smp_080370.1	Smp_080370.1	222	Uncharacterized protein
6183.Smp_080420.1	Smp_080420	442	Uncharacterized protein
6183.Smp_080520.1	Smp_080520	1541	Uncharacterized protein
6183.Smp_080530.1	Smp_080530	264	Putative replication protein A 
6183.Smp_080550.1	Smp_080550	363	Putative developmentally regulated GTP-binding protein 2 (Drg 2) 
6183.Smp_080560.1	Smp_080560	682	Putative ladybird homeobox corepressor 
6183.Smp_080610.1	Smp_080610	166	Uncharacterized protein
6183.Smp_080620.1	Smp_080620	826	Uncharacterized protein
6183.Smp_080650.1	Smp_080650	232	Uncharacterized protein
6183.Smp_080670.1	Smp_080670	141	Uncharacterized protein
6183.Smp_080680.1	Smp_080680	765	Map-kinase activating death domain protein,putative 
6183.Smp_080700.3	Smp_080700.3	1314	Putative jnk/sapk-associated protein 
6183.Smp_080730.1	Smp_080730	410	Serine/threonine kinase ; Belongs to the protein kinase superfamily
6183.Smp_080740.1	Smp_080740.1	173	Putative translation initiation factor 
6183.Smp_080790.1	Smp_080790	121	Uncharacterized protein
6183.Smp_080820.1	Smp_080820	209	Putative g-protein coupled receptor 
6183.Smp_080840.1	Smp_080840	309	Uncharacterized protein
6183.Smp_080850.1	Smp_080850	608	Uncharacterized protein
6183.Smp_080860.1	Smp_080860	219	Serine/threonine kinase 
6183.Smp_080870.1	Smp_080870	509	Uncharacterized protein
6183.Smp_080920.4	PFN1	128	Putative profilin splice variant 4; Belongs to the profilin family
6183.Smp_080980.1	Smp_080980.1	185	Uncharacterized protein
6183.Smp_081030.1	Smp_081030	122	Uncharacterized protein
6183.Smp_081140.1	Smp_081140	178	Dbl related 
6183.Smp_081190.1	Smp_081190	242	Putative rho3 GTPase; Rho3 GTPase ; Belongs to the small GTPase superfamily. Rho family
6183.Smp_081200.1	Smp_081200	302	Putative filamin-A-interacting protein 1 (FILIP) 
6183.Smp_081250.1	Smp_081250	815	Putative voltage-gated potassium channel ; Belongs to the potassium channel family
6183.Smp_081260.1	Smp_081260	925	Uncharacterized protein
6183.Smp_081370.1	Smp_081370	168	Uncharacterized protein
6183.Smp_081380.1	Smp_081380	251	Tumor protein d52, putative 
6183.Smp_081410.1	Smp_081410	295	Ste20-related kinase 
6183.Smp_081420.1	Smp_081420	268	Biotin-protein ligase 
6183.Smp_081430.1	Smp_081430	255	Short chain dehydrogenase,putative 
6183.Smp_081440.1	Smp_081440	196	Uncharacterized protein
6183.Smp_081450.1	Smp_081450	564	Adenosine diphosphatase, putative ; Belongs to the GDA1/CD39 NTPase family
6183.Smp_081460.3	6-phosphogluconolactonase	241	Hydrolysis of 6-phosphogluconolactone to 6-phosphogluconate. 
6183.Smp_081470.1	Smp_081470	251	Uncharacterized protein
6183.Smp_081510.1	Smp_081510	247	Hyvh1 dual specificity phosphatase, putative 
6183.Smp_081570.1	Smp_081570	520	Ebna2 binding protein P100, putative 
6183.Smp_081600.1	Smp_117400	115	Uncharacterized protein
6183.Smp_081620.1	Smp_081620	393	Gsx family homeobox protein 
6183.Smp_081650.1	Smp_081650	752	Putative serine-rich repeat protein 
6183.Smp_081660.1	Smp_081660	324	Putative zinc finger protein 
6183.Smp_081700.1	Smp_081700	76	Uncharacterized protein
6183.Smp_081720.1	Smp_081720	300	Uncharacterized protein
6183.Smp_081790.1	Smp_081790	149	Nucleoside diphosphate kinase ; Belongs to the NDK family
6183.Smp_081820.3	Smp_081820.3	310	Synaptic glycoprotein sc2 related 
6183.Smp_081900.2	Smp_081900.2	121	Uncharacterized protein
6183.Smp_081920.1	Smp_081920	124	Uncharacterized protein
6183.Smp_082030.1	Smp_082030	184	Family C56 non-peptidase homologue (C56 family) 
6183.Smp_082050.1	Smp_082050	225	Putative ubiquitin-conjugating enzyme E2-25kD ; Belongs to the ubiquitin-conjugating enzyme family
6183.Smp_082120.1	Smp_082120	161	ATP synthase delta chain, mitochondrial,putative 
6183.Smp_082240.1	Smp_082240	136	Belongs to the histone H3 family. 
6183.Smp_082250.1	Smp_082250	340	Uncharacterized protein
6183.Smp_082280.1	Smp_082280	955	Putative single-stranded DNA-binding protein mssp-1 
6183.Smp_082290.1	Smp_082290	96	Neurogenic differentiation factor 
6183.Smp_082300.1	Smp_082300	593	Uncharacterized protein
6183.Smp_082330.1	Smp_082330	177	Uncharacterized protein
6183.Smp_082360.1	Smp_082360	884	Uncharacterized protein
6183.Smp_082370.1	Smp_082370	1090	Putative nadp transhydrogenase 
6183.Smp_082410.1	Smp_082410	238	Uncharacterized protein
6183.Smp_082420.1	Smp_082420	296	Putative uridine phosphorylase 
6183.Smp_082430.1	Smp_082430	296	Putative uridine phosphorylase 
6183.Smp_082460.1	Smp_082460	93	Uncharacterized protein
6183.Smp_082490.1	Smp_082490	414	Putative cyclin B ; Belongs to the cyclin family
6183.Smp_082500.1	Smp_082500	75	Uncharacterized protein
6183.Smp_082560.1	Smp_082560.1	287	Zinc finger protein, putative 
6183.Smp_082570.1	Smp_082570	132	CDGSH-type Zn finger-containing protein-like protein 
6183.Smp_082580.1	Smp_082580	111	Uncharacterized protein
6183.Smp_082620.1	Smp_082620	473	Farnesylated-protein converting enzyme 1 (M48 family) 
6183.Smp_082660.1	Smp_082660	705	Transcription intermediary factor 1-related 
6183.Smp_082670.1	Smp_082670	776	Putative aaa family ATPase 
6183.Smp_082690.1	Smp_082690	553	Neuroligin 3 (S09 family) 
6183.Smp_082710.1	Glycosyltransferase-related	209	Glycosyltransferase-related 
6183.Smp_082740.1	Smp_082740	263	Putative pdz domain containing protein 
6183.Smp_082750.1	Smp_082750	97	Belongs to the histone H2A family. 
6183.Smp_082780.1	Smp_082780	481	Putative wiskott-aldrich syndrome protein 
6183.Smp_082790.1	Smp_082790	486	General transcription factor IIH subunit 4; Component of the core-TFIIH basal transcription factor involved in nucleotide excision repair (NER) of DNA
6183.Smp_082800.1	Smp_082800	601	Sly1-related ; Belongs to the STXBP/unc-18/SEC1 family
6183.Smp_082810.2	Smp_082810.2	195	Cell polarity protein ; Belongs to the small GTPase superfamily. Rho family
6183.Smp_082820.1	Smp_082820	374	Putative ubiquitin-conjugating enzyme morgue ; Belongs to the ubiquitin-conjugating enzyme family
6183.Smp_082830.1	Smp_082830	215	Putative axonemal dynein intermediate chain polypeptide 
6183.Smp_082850.2	Smp_082850.2	750	Putative cullin ; Belongs to the cullin family
6183.Smp_082860.1	Smp_082860	411	Putative tryptophanyl-tRNA synthetase ; Belongs to the class-I aminoacyl-tRNA synthetase family
6183.Smp_082940.1	Smp_082940	136	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
6183.Smp_082990.1	Smp_082980	265	Putative cornichon 
6183.Smp_083020.1	Smp_083020	436	Let1/narf-related ; Belongs to the NARF family
6183.Smp_083030.1	Smp_083030	282	Putative inhibitor of apoptosis (Iap) domain family member ; Belongs to the ubiquitin-conjugating enzyme family
6183.Smp_083040.1	Smp_083040.1	626	Adducin related protein 
6183.Smp_083080.1	Smp_083080.1	343	Uncharacterized protein
6183.Smp_083120.1	Smp_083120	358	Putative mitochondrial chaperone BCS1 
6183.Smp_083130.1	Smp_083130	236	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase; Putative beta-1,3-glucuronyltransferase ; Belongs to the glycosyltransferase 43 family
6183.Smp_083150.1	Smp_083150.1	286	Uncharacterized protein
6183.Smp_083180.2	Smp_083180.2	198	Uncharacterized protein
6183.Smp_083200.2	Smp_083200.2	319	Ubiquitinyl hydrolase-UCH37 (C12 family) 
6183.Smp_083220.1	Smp_083220	601	Putative protocadherin alpha 
6183.Smp_083240.1	Smp_083240	156	Uncharacterized protein
6183.Smp_083340.1	Smp_083340.1	1066	Uncharacterized protein
6183.Smp_083380.1	Smp_083380.1	274	Uncharacterized protein
6183.Smp_083400.1	Smp_083400	151	Ubiquitin conjugating enzyme 13; Ubiquitin conjugating enzyme 13, putative ; Belongs to the ubiquitin-conjugating enzyme family
6183.Smp_083410.1	Smp_083410	417	Elongation factor 1-gamma, putative 
6183.Smp_083430.1	Smp_083430	385	Hexosyltransferase
6183.Smp_083450.1	Smp_083450	275	DNAj homolog subfamily C member, putative 
6183.Smp_083480.1	Smp_083480	375	Uncharacterized protein
6183.Smp_083530.1	Smp_083530.1	1597	Calpain-7 (C02 family) ; Belongs to the peptidase C19 family
6183.Smp_083540.1	Smp_083540	435	Uncharacterized protein; Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
6183.Smp_083580.1	Smp_083580	114	Uncharacterized protein
6183.Smp_083650.1	Smp_083650	418	Putative cystathionine beta-lyase 
6183.Smp_083680.1	Smp_083680	308	Uncharacterized protein
6183.Smp_083710.1	Smp_083710	1357	Uncharacterized protein
6183.Smp_083720.1	Smp_083720	313	Putative mitochondrial phosphate carrier protein ; Belongs to the mitochondrial carrier (TC 2.A.29) family
6183.Smp_083730.2	Smp_083730.2	311	Uncharacterized protein
6183.Smp_083740.1	Smp_083740	163	Putative centrin 
6183.Smp_083770.1	Smp_083770	712	Anoctamin 
6183.Smp_083780.1	Smp_083780	833	Putative ku P80 DNA helicase 
6183.Smp_083790.1	Smp_083790	566	Uncharacterized protein
6183.Smp_083800.1	Smp_083800	195	Uncharacterized protein
6183.Smp_083870.1	Smp_083870	544	PwLAP aminopeptidase (M17 family) 
6183.Smp_083880.1	Smp_083880	549	G-protein coupled receptor,putative 
6183.Smp_083930.1	Smp_083930	176	Uncharacterized protein
6183.Smp_083940.1	Smp_083940	399	Rhodopsin-like orphan GPCR,putative 
6183.Smp_083950.1	Smp_083950	135	Uncharacterized protein
6183.Smp_083970.1	Smp_083970	185	Uncharacterized protein
6183.Smp_083980.1	Smp_083980	328	Amiloride-sensitive sodium channel,putative ; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family
6183.Smp_083990.1	PRM1	503	Cationic amino acid transporter, putative 
6183.Smp_084010.1	Smp_084010	765	Uncharacterized protein
6183.Smp_084050.1	Smp_084050	238	Putative aaa family ATPase ; Belongs to the AAA ATPase family
6183.Smp_084060.1	Smp_084060	730	Uncharacterized protein
6183.Smp_084080.1	Smp_084080	480	Putative peptidyl-prolyl cis-trans isomerase (Cyclophilin) 
6183.Smp_084090.1	Smp_084090	1136	Putative junctophilin 
6183.Smp_084140.1	Sirt2	348	Belongs to the sirtuin family. Class I subfamily. 
6183.Smp_084180.1	Smp_084180.1	152	Putative ribonucleoprotein A1b 
6183.Smp_084210.1	Smp_084210	193	Uncharacterized protein
6183.Smp_084270.1	Smp_084270	369	Rhodopsin-like orphan GPCR,putative 
6183.Smp_084320.1	Smp_084320	199	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
6183.Smp_084330.1	Smp_084330.1	252	Uncharacterized protein
6183.Smp_084340.1	Smp_084340	145	Uncharacterized protein
6183.Smp_084380.1	Smp_084380	670	Cleavage and polyadenylation specificity factor-related 
6183.Smp_084400.2	Smp_084400.2	482	Sporulation protein rmd5-related (Glucose-induced degradation protein 2) 
6183.Smp_084440.1	Smp_084440.1	145	Uncharacterized protein
6183.Smp_084450.1	Smp_084450	492	Uncharacterized protein
6183.Smp_084460.1	Smp_084460	134	Putative 60s ribosomal protein L28 
